session_id,label,idx,loop_r_ohm,mq2_raw,temp_c,humidity_pct
tobacco_04,tobacco,5,265.8,9303,28.7,68.9
tobacco_04,tobacco,6,265.7,9313,28.6,69.2
tobacco_04,tobacco,7,265.9,9237,28.7,68.8
tobacco_04,tobacco,8,265.8,9247,28.7,68.5
tobacco_04,tobacco,9,265.8,9340,28.7,68.8
tobacco_04,tobacco,10,265.7,9306,28.6,69.0
tobacco_04,tobacco,11,265.8,9680,28.6,69.5
tobacco_04,tobacco,12,265.8,9575,28.7,69.5
tobacco_04,tobacco,13,265.8,9671,28.7,69.2
tobacco_04,tobacco,14,265.8,9811,28.7,69.9
tobacco_04,tobacco,15,265.8,9838,28.7,70.3
tobacco_04,tobacco,16,265.7,9809,28.6,71.5
tobacco_04,tobacco,17,266.4,9704,28.6,70.9
tobacco_05,tobacco,0,266.2,8918,28.6,68.4
tobacco_05,tobacco,1,266.1,8905,28.5,67.9
tobacco_05,tobacco,2,266.1,8888,28.5,68.0
tobacco_05,tobacco,3,266.0,9392,28.5,68.0
tobacco_05,tobacco,4,266.0,9409,28.6,70.5
tobacco_05,tobacco,5,266.0,9505,28.6,73.2
tobacco_05,tobacco,6,266.2,9472,28.6,73.3
tobacco_05,tobacco,7,266.1,9395,28.5,72.4
tobacco_05,tobacco,8,266.1,9455,28.6,71.8
tobacco_05,tobacco,9,266.0,9389,28.6,71.4
tobacco_05,tobacco,10,265.9,9441,28.6,70.7
tobacco_05,tobacco,11,265.9,9378,28.6,70.1
tobacco_05,tobacco,12,265.9,9325,28.5,70.1
tobacco_05,tobacco,13,265.9,9296,28.5,69.1
tobacco_05,tobacco,14,265.9,9710,28.6,68.7
tobacco_05,tobacco,15,265.9,9928,28.5,70.1
tobacco_05,tobacco,16,265.9,9798,28.5,70.3
tobacco_05,tobacco,17,265.8,9981,28.5,69.2
tobacco_05,tobacco,18,265.9,10046,28.5,69.5
tobacco_05,tobacco,19,265.9,10046,28.5,69.5
tobacco_05,tobacco,20,265.9,10131,28.5,69.4
tobacco_05,tobacco,21,265.9,10216,28.5,69.4
