elapsed_sec,actual_temp_c
0,23.0
30,23.0
60,22.9
90,23.0
120,23.3
150,23.3
180,24.1
210,24.0
240,23.7
270,23.6
300,23.6
330,23.6
360,24.3
390,23.9
420,23.8
450,23.5
480,24.3
510,23.9
540,23.8
570,24.8
600,24.1
630,23.8
660,23.7
690,24.0
720,23.8
750,23.9
780,24.5
810,24.2
840,24.0
870,24.1
900,24.7
