elapsed_sec,actual_temp_c
0,22.6
60,22.6
120,22.7
150,23.4
180,23.1
210,22.9
240,22.9
270,25.4
300,24.2
330,23.8
360,23.5
390,26.8
420,25.2
450,24.3
480,23.8
510,23.5
540,28.6
570,25.5
600,24.4
630,28.6
660,25.9
690,24.9
720,24.2
750,24.0
780,23.7
810,23.6
840,23.5
870,23.5
900,23.4
