boot_elapsed_sec,ts,raw_adc,voltage_v,temp_c_placeholder,loop_resistance_ohm
15,16,9281,1.7402,-31.0,33.1
20,21,9281,1.7402,-31.0,33.0
25,26,9301,1.7439,-31.1,32.9
30,31,9039,1.6948,-29.9,32.9
35,36,9200,1.725,-30.6,32.9
40,41,9241,1.7327,-30.8,32.9
45,46,9079,1.7023,-30.1,32.9
50,51,4398,0.8246,-8.1,32.9
55,56,2966,0.5561,-1.4,32.8
60,61,1533,0.2874,5.3,32.8
65,66,1624,0.3045,4.9,32.8
70,71,2350,0.4406,1.5,32.8
75,76,2825,0.5297,-0.7,32.8
80,81,3127,0.5863,-2.2,32.8
85,86,3390,0.6356,-3.4,32.8
90,91,3712,0.696,-4.9,32.7
95,96,3964,0.7433,-6.1,32.7
100,101,4217,0.7907,-7.3,32.8
105,106,4398,0.8246,-8.1,32.7
110,111,4600,0.8625,-9.1,32.7
115,116,4761,0.8927,-9.8,32.7
120,121,4963,0.9306,-10.8,32.7
125,126,5185,0.9722,-11.8,32.7
130,131,5347,1.0026,-12.6,32.6
135,136,5488,1.029,-13.2,32.7
140,141,5609,1.0517,-13.8,32.6
145,146,5790,1.0856,-14.6,32.7
150,151,5972,1.1198,-15.5,32.7
155,156,6053,1.1349,-15.9,32.7
160,161,6174,1.1576,-16.4,32.7
165,166,6335,1.1878,-17.2,32.6
170,171,6456,1.2105,-17.8,32.6
175,176,6537,1.2257,-18.1,32.7
180,181,6618,1.2409,-18.5,32.7
185,186,6698,1.2559,-18.9,32.7
190,191,6819,1.2786,-19.5,32.6
195,196,6900,1.2938,-19.8,32.6
200,201,6981,1.3089,-20.2,32.6
205,206,7062,1.3241,-20.6,32.6
210,211,7142,1.3391,-21.0,32.6
215,216,7223,1.3543,-21.4,32.6
220,221,7324,1.3733,-21.8,32.6
225,226,7384,1.3845,-22.1,32.6
230,231,7435,1.3941,-22.4,32.6
235,236,7526,1.4111,-22.8,32.6
240,241,7586,1.4224,-23.1,32.6
245,246,7626,1.4299,-23.2,32.6
250,251,7707,1.4451,-23.6,32.6
255,256,7748,1.4527,-23.8,32.6
260,261,7828,1.4677,-24.2,32.6
265,266,7869,1.4754,-24.4,32.6
270,271,7909,1.4829,-24.6,32.6
275,276,7990,1.4981,-25.0,32.6
280,281,8030,1.5056,-25.1,32.6
285,286,8080,1.515,-25.4,32.6
290,291,8111,1.5208,-25.5,32.6
295,296,8191,1.5358,-25.9,32.6
300,301,8212,1.5397,-26.0,32.6
305,306,8232,1.5435,-26.1,32.6
310,311,8272,1.551,-26.3,32.6
315,316,8312,1.5585,-26.5,32.6
320,321,8353,1.5662,-26.7,32.6
325,326,8393,1.5737,-26.8,32.6
330,331,8433,1.5812,-27.0,32.6
335,336,8474,1.5889,-27.2,32.6
340,341,8514,1.5964,-27.4,32.6
345,346,8514,1.5964,-27.4,32.6
350,351,8514,1.5964,-27.4,32.6
355,356,8595,1.6116,-27.8,32.6
360,361,8595,1.6116,-27.8,32.6
365,366,8635,1.6191,-28.0,32.6
370,371,8676,1.6267,-28.2,32.6
375,376,8696,1.6305,-28.3,32.6
380,381,8716,1.6343,-28.4,32.6
385,386,8736,1.638,-28.5,32.6
390,391,8756,1.6417,-28.5,32.6
395,396,8776,1.6455,-28.6,32.6
400,401,8797,1.6494,-28.7,32.6
405,406,8837,1.6569,-28.9,32.6
410,411,8857,1.6607,-29.0,32.6
415,416,8877,1.6644,-29.1,32.6
420,421,8918,1.6721,-29.3,32.6
425,426,8918,1.6721,-29.3,32.6
430,431,8918,1.6721,-29.3,32.6
435,436,8958,1.6796,-29.5,32.6
440,441,8958,1.6796,-29.5,32.6
