elapsed_sec,actual_temp_c
0,22.5
15,22.7
20,22.8
30,24.1
40,26.1
50,58.7
60,77.8
70,78.3
80,65.4
90,57.3
100,50.9
110,45.2
120,40.9
130,37.3
140,34.9
150,32.8
160,30.8
170,29.5
180,28.5
190,27.6
200,26.8
210,26.1
220,25.6
230,25.0
240,24.6
250,24.4
260,24.1
270,23.9
280,23.8
290,23.6
300,23.5
310,23.4
320,23.3
330,23.1
340,23.0
350,22.9
360,22.9
370,22.8
380,22.8
390,22.7
400,22.6
410,22.6
420,22.5
430,22.6
440,22.5
