boot_elapsed_sec,ts,raw_adc,voltage_v,temp_c_placeholder,loop_resistance_ohm
15,15,8615,1.6153,-27.9,207.8
20,20,8620,1.6163,-27.9,207.6
25,25,8625,1.6172,-27.9,206.3
30,30,8627,1.6176,-27.9,209.9
35,35,8637,1.6194,-28.0,211.2
40,40,8640,1.62,-28.0,211.6
45,45,8646,1.6211,-28.0,211.4
50,50,8644,1.6208,-28.0,211.2
55,55,8615,1.6153,-27.9,211.2
60,60,8618,1.6159,-27.9,211.7
65,65,8588,1.6102,-27.8,212.1
70,70,8587,1.6101,-27.8,212.5
75,75,8605,1.6134,-27.8,212.8
80,80,8617,1.6157,-27.9,213.1
85,85,8618,1.6159,-27.9,213.2
90,90,8617,1.6157,-27.9,213.3
95,95,8628,1.6178,-27.9,213.2
100,100,8603,1.6131,-27.8,213.1
105,105,8526,1.5986,-27.5,212.3
110,110,8564,1.6057,-27.6,212.0
115,115,8568,1.6065,-27.7,211.7
120,120,8568,1.6065,-27.7,212.8
125,125,8554,1.6039,-27.6,212.9
130,130,8544,1.602,-27.5,212.9
135,135,8558,1.6046,-27.6,213.0
140,140,8473,1.5887,-27.2,212.9
145,145,8502,1.5941,-27.4,212.9
150,150,8502,1.5941,-27.4,212.9
155,155,8526,1.5986,-27.5,213.0
160,160,8098,1.5184,-25.5,213.0
165,165,8377,1.5707,-26.8,213.1
170,170,8382,1.5716,-26.8,213.3
175,175,8234,1.5439,-26.1,213.2
180,180,8366,1.5686,-26.7,213.2
185,185,8256,1.548,-26.2,213.0
190,190,8147,1.5276,-25.7,212.8
195,195,8295,1.5553,-26.4,212.9
200,200,8351,1.5658,-26.6,213.0
205,205,8366,1.5686,-26.7,213.3
210,210,8390,1.5731,-26.8,213.0
215,215,8399,1.5748,-26.9,213.0
220,220,8409,1.5767,-26.9,213.0
225,225,8419,1.5786,-27.0,213.0
230,230,8430,1.5806,-27.0,212.9
235,235,8444,1.5833,-27.1,212.8
240,240,8446,1.5836,-27.1,212.8
245,245,8448,1.584,-27.1,213.3
250,250,8453,1.5849,-27.1,212.4
255,255,8467,1.5876,-27.2,212.2
260,260,8472,1.5885,-27.2,212.1
265,265,8472,1.5885,-27.2,211.6
270,270,8470,1.5881,-27.2,211.7
275,275,8471,1.5883,-27.2,212.0
280,280,8482,1.5904,-27.3,199.6
285,285,8482,1.5904,-27.3,206.7
290,290,8475,1.5891,-27.2,207.0
295,295,8469,1.5879,-27.2,206.8
300,300,8479,1.5898,-27.2,207.2
305,305,8467,1.5876,-27.2,208.1
310,310,8438,1.5821,-27.1,207.8
315,315,8435,1.5816,-27.0,207.5
320,320,8431,1.5808,-27.0,207.2
325,325,8429,1.5804,-27.0,207.0
330,330,8019,1.5036,-25.1,207.5
335,335,7881,1.4777,-24.4,207.6
340,340,8152,1.5285,-25.7,207.5
345,345,8201,1.5377,-25.9,207.6
350,350,8236,1.5443,-26.1,207.5
355,355,8302,1.5566,-26.4,207.5
360,360,8278,1.5521,-26.3,208.7
365,365,8293,1.5549,-26.4,209.0
370,370,8318,1.5596,-26.5,209.8
375,375,8376,1.5705,-26.8,211.1
380,380,8345,1.5647,-26.6,211.1
385,385,8363,1.5681,-26.7,211.2
390,390,8369,1.5692,-26.7,211.3
395,395,8376,1.5705,-26.8,211.4
400,400,8382,1.5716,-26.8,211.4
405,405,8392,1.5735,-26.8,211.5
410,410,8401,1.5752,-26.9,211.4
415,415,8410,1.5769,-26.9,211.4
420,420,8409,1.5767,-26.9,211.3
425,425,8426,1.5799,-27.0,211.3
430,430,8421,1.5789,-27.0,211.3
435,435,8416,1.578,-27.0,211.4
440,440,8431,1.5808,-27.0,211.3
445,445,8444,1.5833,-27.1,211.2
450,450,8436,1.5818,-27.0,211.2
455,455,8439,1.5823,-27.1,211.2
460,460,8442,1.5829,-27.1,211.2
465,465,8147,1.5276,-25.7,211.0
470,470,8260,1.5488,-26.2,210.9
475,475,8363,1.5681,-26.7,210.9
480,480,8375,1.5703,-26.8,210.9
485,485,8370,1.5694,-26.7,211.0
490,490,8384,1.572,-26.8,211.1
495,495,8397,1.5744,-26.9,211.1
500,500,8404,1.5757,-26.9,211.0
505,505,8400,1.575,-26.9,211.0
510,510,8400,1.575,-26.9,211.0
515,515,8379,1.5711,-26.8,211.0
520,520,8399,1.5748,-26.9,211.0
525,525,8414,1.5776,-26.9,210.9
530,530,8419,1.5786,-27.0,210.9
535,535,8425,1.5797,-27.0,210.8
540,540,8435,1.5816,-27.0,210.9
545,545,8294,1.5551,-26.4,210.7
550,550,8339,1.5636,-26.6,210.8
555,555,8397,1.5744,-26.9,210.9
560,560,8270,1.5506,-26.3,210.9
565,565,8168,1.5315,-25.8,210.9
570,570,8330,1.5619,-26.5,210.9
575,575,8283,1.5531,-26.3,210.8
580,580,8349,1.5654,-26.6,210.8
585,585,8379,1.5711,-26.8,210.7
590,590,8389,1.5729,-26.8,210.8
595,595,8369,1.5692,-26.7,210.8
600,600,8383,1.5718,-26.8,210.9
605,605,8395,1.5741,-26.9,211.0
610,610,8404,1.5757,-26.9,211.0
615,615,8400,1.575,-26.9,211.0
620,620,8408,1.5765,-26.9,211.1
625,625,8409,1.5767,-26.9,211.0
630,630,8413,1.5774,-26.9,211.0
635,635,8393,1.5737,-26.8,211.0
640,640,8410,1.5769,-26.9,211.0
645,645,8410,1.5769,-26.9,211.0
650,650,8419,1.5786,-27.0,211.0
655,655,8404,1.5757,-26.9,211.0
660,660,8390,1.5731,-26.8,210.9
665,665,8240,1.545,-26.1,210.7
670,670,8367,1.5688,-26.7,210.7
675,675,8385,1.5722,-26.8,210.9
680,680,8383,1.5718,-26.8,210.9
685,685,8392,1.5735,-26.8,210.8
690,690,8397,1.5744,-26.9,210.8
695,695,8401,1.5752,-26.9,210.8
700,700,8396,1.5742,-26.9,210.8
705,705,8408,1.5765,-26.9,210.8
710,710,8410,1.5769,-26.9,210.7
715,715,8423,1.5793,-27.0,210.6
720,720,8421,1.5789,-27.0,210.6
725,725,8424,1.5795,-27.0,210.7
730,730,8430,1.5806,-27.0,210.6
735,735,8422,1.5791,-27.0,210.4
740,740,8430,1.5806,-27.0,210.0
745,745,8382,1.5716,-26.8,209.7
750,750,8408,1.5765,-26.9,208.7
755,755,8405,1.5759,-26.9,206.6
760,760,8135,1.5253,-25.6,207.7
765,765,8290,1.5544,-26.4,208.4
770,770,8239,1.5448,-26.1,210.9
775,775,8236,1.5443,-26.1,210.9
780,780,8326,1.5611,-26.5,210.9
785,785,8287,1.5538,-26.3,211.1
790,790,8382,1.5716,-26.8,211.1
795,795,8313,1.5587,-26.5,211.1
800,800,8340,1.5638,-26.6,211.0
805,805,8386,1.5724,-26.8,211.0
810,810,8352,1.566,-26.6,211.0
815,815,8337,1.5632,-26.6,211.0
820,820,8376,1.5705,-26.8,211.0
825,825,8374,1.5701,-26.8,211.0
830,830,8374,1.5701,-26.8,210.9
835,835,8381,1.5714,-26.8,211.0
840,840,8383,1.5718,-26.8,211.1
845,845,8389,1.5729,-26.8,211.0
850,850,8278,1.5521,-26.3,211.1
855,855,8297,1.5557,-26.4,211.2
860,860,8284,1.5532,-26.3,211.2
865,865,8340,1.5638,-26.6,211.3
870,870,8382,1.5716,-26.8,211.2
875,875,8293,1.5549,-26.4,211.3
880,880,8383,1.5718,-26.8,211.3
885,885,8335,1.5628,-26.6,211.2
890,890,8317,1.5594,-26.5,211.1
895,895,8363,1.5681,-26.7,211.1
900,900,8142,1.5266,-25.7,211.1
