session_id,label,idx,loop_r_ohm,mq2_raw,temp_c,humidity_pct
incense_06,incense,11,267.4,10076,27.1,58.4
incense_06,incense,12,267.5,10113,27.1,58.1
incense_06,incense,13,267.4,9945,27.1,57.8
incense_07,incense,0,267.5,8258,27.0,56.4
incense_07,incense,1,267.4,8252,27.0,56.5
incense_07,incense,2,267.5,8239,27.0,56.5
incense_07,incense,3,267.5,8323,27.0,56.4
incense_07,incense,4,267.4,12959,27.0,56.5
incense_07,incense,5,267.5,14343,27.0,56.7
incense_07,incense,6,267.5,14630,27.0,56.6
incense_07,incense,7,267.5,14560,27.0,56.6
incense_07,incense,8,267.5,14418,27.1,57.2
incense_07,incense,9,267.5,14766,27.0,57.8
incense_07,incense,10,267.5,14888,27.1,58.2
incense_07,incense,11,267.5,14961,27.1,58.1
incense_07,incense,12,267.5,15285,27.2,57.9
incense_07,incense,13,267.5,15161,27.2,57.7
incense_08,incense,0,267.2,8315,26.8,56.6
incense_08,incense,1,267.2,8322,26.8,56.5
incense_08,incense,2,267.1,8327,26.8,56.3
incense_08,incense,3,267.2,8353,26.8,56.2
incense_08,incense,4,267.2,8542,26.8,56.2
incense_08,incense,5,267.2,8754,26.8,56.2
incense_08,incense,6,267.1,9549,26.8,56.1
incense_08,incense,7,267.1,9416,26.8,56.2
incense_08,incense,8,267.1,9367,26.8,56.2
incense_08,incense,9,267.1,9305,26.8,56.1
incense_08,incense,10,267.1,9280,26.8,56.0
incense_08,incense,11,267.2,9562,26.8,56.0
incense_08,incense,12,267.2,9616,26.8,55.9
incense_08,incense,13,267.2,9586,26.8,55.9
incense_09,incense,0,267.0,8125,26.3,56.5
incense_09,incense,1,267.0,8114,26.3,56.4
incense_09,incense,2,266.9,8501,26.3,56.4
incense_09,incense,3,266.9,9454,26.3,56.5
incense_09,incense,4,267.0,10941,26.3,57.2
incense_09,incense,5,267.0,10747,26.3,57.2
incense_09,incense,6,267.0,10674,26.3,57.2
incense_09,incense,7,266.9,10710,26.3,57.4
incense_09,incense,8,266.9,10781,26.4,57.8
incense_09,incense,9,266.7,11753,26.4,59.9
incense_09,incense,10,266.7,12260,26.5,60.1
incense_09,incense,11,266.8,12099,26.6,59.5
incense_09,incense,12,266.9,12414,26.7,58.8
incense_10,incense,0,266.7,7894,26.2,55.6
incense_10,incense,1,266.6,8474,26.2,55.6
incense_10,incense,2,266.7,10716,26.2,57.4
incense_10,incense,3,266.6,10605,26.3,58.6
incense_10,incense,4,266.7,10572,26.3,58.6
incense_10,incense,5,266.6,10357,26.4,58.4
incense_10,incense,6,266.7,10144,26.4,58.0
incense_10,incense,7,266.7,10454,26.5,57.6
incense_10,incense,8,266.7,10247,26.5,57.2
incense_10,incense,9,266.7,10082,26.6,57.3
incense_10,incense,10,266.7,9971,26.6,57.2
incense_10,incense,11,266.8,9954,26.7,57.2
incense_10,incense,12,266.7,10017,26.7,56.8
