session_id,label,idx,loop_r_ohm,mq2_raw,temp_c,humidity_pct
fire_08,fire,11,317.8,9120,39.6,33.5
fire_08,fire,12,317.8,9295,40.4,31.7
fire_08,fire,13,317.7,9306,41.2,30.4
fire_09,fire,0,318.8,7919,27.6,48.9
fire_09,fire,1,319.1,8143,27.6,49.1
fire_09,fire,2,319.0,8448,28.2,49.1
fire_09,fire,3,319.0,8515,29.6,49.3
fire_09,fire,4,319.1,8404,31.0,48.1
fire_09,fire,5,319.0,8376,32.2,46.3
fire_09,fire,6,319.0,8279,33.5,44.2
fire_09,fire,7,319.1,8470,34.9,42.0
fire_09,fire,8,319.0,8691,36.2,39.8
fire_09,fire,9,318.8,8588,37.6,37.4
fire_09,fire,10,319.0,8484,38.7,35.1
fire_09,fire,11,319.0,8420,39.8,33.2
fire_09,fire,12,319.0,8877,40.7,31.5
fire_09,fire,13,319.2,8721,41.5,29.9
