session,elapsed_sec,battery_voltage_v,note
1,1,1.1874,
1,2,1.1815,
1,3,1.1758,
1,4,1.1747,
1,5,1.1793,
1,6,1.1795,
1,7,1.1685,
1,8,1.1711,
1,9,1.1741,
1,10,1.1688,
1,11,1.1706,
1,12,1.1708,
1,13,1.1696,
1,14,1.1649,
1,15,1.1612,
1,16,1.1604,
1,17,1.1704,
1,18,1.1655,
1,19,1.1572,
1,20,1.1558,
1,21,1.1664,
1,22,1.1674,
1,23,1.1581,
1,24,1.1689,
1,25,1.1432,
1,26,1.1463,
1,27,1.1689,
1,28,1.1616,
1,29,1.148,
1,30,1.1544,
1,31,1.1649,
1,32,1.1602,
1,33,1.1499,
1,34,1.1541,
1,35,1.1443,
1,36,1.1532,
1,37,1.1416,
1,38,1.1597,
1,39,1.1425,
1,40,1.1467,
1,41,1.1419,
1,42,1.1491,
1,43,1.1383,
1,44,1.1573,
1,45,1.1581,
1,46,1.1641,
1,47,1.1397,
1,48,1.139,
1,49,1.1391,
1,50,1.1553,
1,51,1.144,
1,52,1.1458,
1,53,1.1431,
1,54,1.149,
1,55,1.143,
1,56,1.1298,
1,57,1.1524,
1,58,1.1375,
1,59,1.1406,
1,60,1.1413,
1,61,1.1547,
1,62,1.1441,
1,63,1.132,
1,64,1.1377,
1,65,1.1499,
1,66,1.1382,
1,67,1.1417,
1,68,1.1372,
1,69,1.1454,
1,70,1.1352,
1,71,1.138,
1,73,1.1365,
1,74,1.1397,
1,75,1.1281,
1,76,1.129,
1,77,1.1304,
1,78,1.1341,
1,79,1.1219,
1,80,1.1279,
1,81,1.1397,
1,82,1.1305,
1,83,1.1416,
1,84,1.1397,
1,85,1.125,
1,86,1.1364,
1,87,1.1255,
1,88,1.1379,
1,89,1.1363,
1,90,1.134,
1,91,1.141,
1,92,1.1267,
1,93,1.1277,
1,94,1.1287,
1,95,1.1199,
1,96,1.1336,
1,97,1.1244,
1,98,1.1338,
1,99,1.1141,
1,100,1.1228,
1,101,1.1104,
1,102,1.1252,
1,103,1.1285,
1,104,1.1276,
1,105,1.1255,
1,106,1.1182,
1,107,1.1197,
1,108,1.1005,
1,109,1.1277,
1,110,1.1261,
1,111,1.124,
1,112,1.1213,
