session,elapsed_sec,battery_voltage_v,note
1,0,1.1524,
1,1,1.1557,
1,2,1.1517,
1,3,1.1473,
1,4,1.1503,
1,5,1.1488,
1,6,1.1476,
1,7,1.1495,
1,8,1.1463,
1,9,1.1453,
1,10,1.1436,
1,11,1.1442,
1,12,1.1367,
1,13,1.1379,
1,14,1.1365,
1,15,1.1376,
1,16,1.1399,
1,17,1.1374,
1,18,1.1359,
1,19,1.1335,
1,20,1.1369,
1,21,1.1361,
1,22,1.1342,
1,23,1.1303,
1,24,1.1329,
1,25,1.1282,
1,26,1.1282,
1,27,1.1296,
1,28,1.1298,
1,29,1.1266,
1,30,1.1305,
1,31,1.1214,
1,32,1.124,
1,33,1.1259,
1,34,1.1242,
1,35,1.1236,
1,36,1.1236,
1,37,1.124,
1,38,1.1257,
1,39,1.1213,
1,40,1.1204,
1,41,1.1136,
1,42,1.1224,
1,43,1.1201,
1,44,1.1196,
1,45,1.121,
1,46,1.1202,
1,47,1.118,
1,48,1.119,
1,49,1.1186,
1,50,1.1167,
1,51,1.1113,
1,52,1.1156,
1,53,1.1158,
1,54,1.1138,
1,55,1.1083,
1,56,1.1142,
1,57,1.1127,
1,58,1.1049,
1,59,1.116,
1,60,1.1113,
1,61,1.1096,
1,62,1.1121,
1,63,1.1097,
1,64,1.1049,
1,65,1.1068,
1,66,1.1083,
1,67,1.1047,
1,68,1.1038,
1,69,1.1047,
1,70,1.1052,
1,71,1.1014,
1,72,1.1023,
1,73,1.1001,
1,74,1.1002,
1,75,1.1014,
1,76,1.1026,
1,77,1.1036,
1,78,1.0993,
1,79,1.0986,
1,80,1.0994,
1,81,1.1002,
1,82,1.0943,
1,83,1.0969,
1,84,1.0949,
1,85,1.0955,
1,86,1.0917,
1,87,1.0958,
1,88,1.0925,
1,89,1.0932,
1,90,1.0927,
1,91,1.0929,
1,92,1.0928,
1,93,1.093,
1,94,1.0933,
1,95,1.0899,
1,96,1.0908,
1,97,1.0902,
1,98,1.0856,
1,99,1.0856,
1,100,1.0845,
1,101,1.0864,
1,102,1.0817,
1,103,1.085,
1,104,1.0856,
1,105,1.081,
1,106,1.0854,
1,107,1.0828,
1,108,1.0836,
1,109,1.0779,
1,110,1.0803,
1,111,1.078,
1,112,1.0761,
1,113,1.0783,
1,114,1.075,
1,115,1.0766,
1,116,1.0787,
1,117,1.0744,
1,118,1.0738,
1,119,1.0747,
1,120,1.0734,
1,121,1.0708,
1,122,1.07,
1,123,1.0728,
1,124,1.0737,
1,125,1.0677,
1,126,1.069,
1,127,1.0652,
1,128,1.0698,
1,129,1.0653,
1,130,1.0664,
1,131,1.0646,
1,132,1.0603,
1,133,1.0613,
1,134,1.0626,
1,135,1.0559,
1,136,1.0583,
1,137,1.0598,
1,138,1.0541,
1,139,1.0522,
1,140,1.0536,
1,141,1.0533,
1,142,1.0471,
1,143,1.0478,
1,144,1.0466,
1,145,1.0436,
1,146,1.0457,
1,147,1.043,
1,148,1.0415,
1,149,1.0403,
1,150,1.0332,
1,151,1.0384,
1,152,1.0324,
1,153,1.0326,
1,154,1.0293,
1,155,1.0232,
1,156,1.0235,
1,157,1.0213,
1,158,1.0195,
1,159,1.0137,
1,160,1.0111,
1,161,1.0027,
1,162,0.9945,
1,163,0.9902,
1,164,0.9835,
1,165,0.9744,
1,166,0.9572,
1,167,0.9408,
1,168,0.929,
1,169,0.8974,
1,170,0.8576,
1,171,0.7754,
1,172,0.3918,
1,173,0.3796,
1,174,0.3733,
1,175,0.3736,
1,176,0.3716,
1,177,0.3697,
1,178,0.369,
1,179,0.3652,
1,180,0.3689,
1,181,0.3624,
1,182,0.364,
1,183,0.3617,
1,184,0.3623,
1,185,0.3601,
1,186,0.3607,
1,187,0.3609,
1,188,0.3624,
1,189,0.3599,
1,190,0.3598,
1,191,0.3597,
1,192,0.3584,
1,193,0.3526,
1,194,0.3571,
1,195,0.3546,
1,196,0.3571,
1,197,0.3551,
1,198,0.3575,
1,199,0.3559,
1,200,0.3552,
1,201,0.3557,
1,202,0.3542,
1,203,0.3529,
1,204,0.3514,
1,205,0.3534,
1,206,0.3535,
1,207,0.351,
1,208,0.3524,
1,209,0.3514,
1,210,0.3491,
1,211,0.3512,
1,212,0.3497,
1,213,0.3507,
1,214,0.351,
1,215,0.3494,
1,216,0.3536,
1,217,0.3502,
1,218,0.3495,
1,219,0.3478,
1,220,0.3504,
1,221,0.3485,
1,222,0.3504,
1,223,0.3512,
1,224,0.3482,
1,225,0.3481,
1,226,0.3479,
1,227,0.3453,
1,228,0.3474,
1,229,0.3479,
1,230,0.3454,
1,231,0.3474,
1,232,0.3459,
1,233,0.347,
1,234,0.3462,
1,235,0.3482,
1,236,0.345,
1,237,0.3466,
1,238,0.3476,
1,239,0.3458,
1,240,0.3484,
1,241,0.3448,
1,242,0.346,
1,243,0.3457,
1,244,0.3449,
1,245,0.3454,
1,246,0.3444,
1,247,0.3425,
1,248,0.3443,
1,249,0.3446,
1,250,0.3426,
1,251,0.3433,
1,252,0.3445,
1,253,0.3448,
1,254,0.3446,
1,255,0.3423,
1,256,0.3436,
1,257,0.3441,
1,258,0.3449,
1,259,0.342,
1,260,0.3413,
1,261,0.3418,
1,262,0.3417,
1,263,0.3409,
1,264,0.3441,
1,265,0.3422,
1,266,0.3408,
1,267,0.3416,
1,268,0.3415,
1,269,0.3406,
1,270,0.3445,
1,271,0.344,
1,272,0.3436,
1,273,0.339,
1,274,0.3389,
1,275,0.3395,
1,276,0.3407,
1,277,0.3417,
1,278,0.3393,
1,279,0.3408,
1,280,0.3399,
1,281,0.3404,
1,282,0.3373,
1,283,0.337,
1,284,0.3408,
1,285,0.3415,
1,286,0.3361,
1,287,0.3389,
1,288,0.3386,
1,289,0.3378,
1,290,0.3392,
1,291,0.3372,
1,292,0.3388,
1,293,0.3391,
1,294,0.3368,
1,295,0.3376,
1,296,0.3401,
1,297,0.3377,
1,298,0.3378,
1,299,0.3374,
1,300,0.336,
1,301,0.3355,
1,302,0.3363,
1,303,0.3368,
1,304,0.3391,
1,305,0.3356,
1,306,0.3347,
1,307,0.3367,
1,308,0.3337,
1,309,0.3362,
1,310,0.3358,
1,311,0.3349,
1,312,0.3344,
1,313,0.3345,
1,314,0.3358,
1,315,0.3335,
1,316,0.3363,
1,317,0.3344,
1,318,0.3355,
1,319,0.3346,
1,320,0.3335,
1,321,0.3346,
1,322,0.3345,
1,323,0.336,
1,324,0.3347,
1,325,0.333,
1,326,0.3294,
1,327,0.3335,
1,328,0.334,
1,329,0.3318,
1,330,0.3344,
1,331,0.3352,
1,332,0.3327,
1,333,0.3337,
1,334,0.3325,
1,335,0.3322,
1,336,0.3301,
1,337,0.3328,
1,338,0.335,
1,339,0.3338,
1,340,0.3328,
