session,elapsed_sec,battery_voltage_v,note
1,0,1.2119,
1,1,1.1796,
1,2,1.1767,
1,3,1.1705,
1,4,1.1716,
1,5,1.1572,
1,6,1.1654,
1,7,1.1536,
1,8,1.153,
1,9,1.1502,
1,10,1.1556,
1,11,1.1465,
1,12,1.1539,
1,13,1.1323,
1,14,1.137,
1,15,1.1359,
1,16,1.1447,
1,17,1.1225,
1,18,1.142,
1,19,1.121,
1,20,1.1158,
1,21,1.126,
1,22,1.1177,
1,23,1.1176,
1,24,1.1237,
1,25,1.1209,
1,26,1.1143,
1,27,1.1166,
1,28,1.1077,
1,29,1.1148,
1,30,1.1141,
1,31,1.1075,
1,32,1.103,
1,33,1.101,
1,34,1.102,
1,35,1.101,
1,36,1.0936,
1,37,1.0953,
1,38,1.0866,
1,39,1.094,
1,40,1.0865,
1,41,1.0898,
1,42,1.0965,
1,43,1.0855,
1,44,1.0829,
1,45,1.0754,
1,46,1.0745,
1,47,1.0743,
1,48,1.0737,
1,49,1.0721,
1,50,1.0645,
1,51,1.0638,
1,52,1.0619,
1,53,1.0561,
1,54,1.0607,
1,55,1.0616,
1,56,1.0516,
1,57,1.0517,
1,58,1.0531,
1,59,1.0598,
1,60,1.0339,
1,61,1.0411,
1,62,1.0373,
1,63,1.0397,
1,64,1.0431,
1,65,1.0217,
1,66,1.0291,
1,67,1.0272,
1,68,1.0162,
1,69,1.0181,
1,70,1.0155,
1,71,1.0181,
1,72,1.009,
1,73,1.0102,
1,74,1.0135,
1,75,1.0064,
1,76,1.0001,
1,77,0.9908,
1,78,0.987,
1,79,0.991,
1,80,0.9832,
1,81,0.9817,
1,82,0.9779,
1,83,0.9762,
1,84,0.9757,
1,85,0.9684,
1,86,0.9667,
1,87,0.9564,
1,88,0.9488,
1,89,0.9481,
1,90,0.9435,
1,91,0.9341,
1,92,0.9291,
1,93,0.9175,
1,94,0.9207,
1,95,0.9155,
1,96,0.9014,
1,97,0.8899,
1,98,0.8848,
1,99,0.8786,
1,100,0.8686,
1,101,0.8583,
1,102,0.8508,
1,103,0.8318,
1,104,0.8242,
1,105,0.8027,
1,106,0.7843,
1,107,0.752,
1,108,0.7119,
1,109,0.6324,
1,110,0.4378,
1,111,0.407,
1,112,0.3946,
1,113,0.3801,
1,114,0.373,
1,115,0.3638,
1,116,0.3578,
1,117,0.3532,
